title,location,Main_task,qualifications,Preferred_Qualifications,skills,url
[신입] 머신러닝 엔지니어 (LLM),서울 서초구,"• 데이터를 분석하고 풀어야 할 문제를 정의합니다.
• 동료들과 더 나은 LLM 기술에 대해 논의하고 연구합니다.
• LLM 기반으로한 서비스를 개발하고 적용합니다.
• RAG, Fine tuning 등을 이용해 LLM 모델의 성능을 향상 시킵니다.
• LLM 실적용 성공 사례를 지속적으로 늘려나가고 전체 수행 과정 효율을 개선할 수 있는 체계를 함께 고민하여 반영합니다.","• LLM(Fine tuning 포함) 또는 NLP 모델의 학습 경험이 있는 분
• LLM 또는 NLP 관련 논문 작성 경험이 있는 분
• Python을 활용한 프로그래밍에 능숙한 분
• 다양한 라이브러리와 프레임워크를 활용한 문제 해결 경험이 있는 분","• 다양한 분야의 데이터를 다룬 경험이 있는 분
• AI Agent 활용 경험이 있거나 이해가 높은 분
• 코드리뷰를 주고 받으며 협업한 경험이 있는 분",[],https://www.wanted.co.kr/wd/264181
[카카오계열사]Prompt Engineer,서울 강남구,"• LLM 프롬프트 최적화 및 엔지니어링: 다양한 LLM(GPT, Claude, Gemini 등)을 활용하여 최적의 프롬프트를 설계하고 성능을 개선
• LLM 기반 서비스 개발 및 고도화: RAG(Retrieval-Augmented Generation), Fine-tuning 등을 활용하여 AI 서비스를 개발 및 최적화
• 신규 AI 서비스 기획 및 개발: LLM을 활용한 서비스 및 비즈니스 기회 발굴
• AI 자동화 및 서비스 개선: LLM을 활용하여 자동화 및 AI 기반 서비스의 효율성 극대화","• 해외여행 결격사유가 없는 분
• LLM 및 NLP 실무 경험: LLM 또는 자연어 처리(NLP)를 활용한 서비스 개발 및 실제 적용 경험
• 프롬프트 엔지니어링 및 LLM 구조 이해: 대화형 LLM 모델의 아키텍처 및 최적화에 대한 이해와 실무 경험
• Python 및 API 활용 능력: Python과 REST API 등을 이용한 LLM 연동 및 서비스 개발 경험","ML 기반 서비스 개발 또는 백엔드 개발 경험
• ML 기반 서비스 개발 경험: 머신러닝 또는 LLM 기반 서비스를 기획, 개발, 운영한 경험
• 백엔드 개발 경험: AI 모델 서빙 및 API 설계를 포함한 백엔드 시스템 개발 경험
LLM 모델 최적화 및 응용 경험
• LLM 기반 서비스의 전 과정 경험: 기획 구현 성능 평가 개선까지 진행한 경험
• Fine-tuning 경험: BERT, LLAMA 등 오픈소스 LLM을 목적에 맞게 Fine-tuning하여 최적화한 경험
• RAG 기반 서비스 개발 경험: RAG(Retrieval-Augmented Generation)를 활용한 정보 검색 및 생성 시스템 구축 경험
멀티모달 및 에이전트 활용 경험
• Agent 기반 AI 서비스 개발 경험: LangChain 등 프레임워크를 활용한 LLM 기반 Agent 개발 경험
• 멀티모달 AI 모델 활용 경험: 텍스트/음성/이미지 데이터를 통합한 멀티모달 AI 모델 개발 경험
클라우드 및 운영 경험
• AWS 등 클라우드 환경 서비스 개발 경험","['Python', 'NLP']",https://www.wanted.co.kr/wd/264121
Google Cloud Platform Solutions Engineer,서울 강남구,"• GCP 클라우드 아키텍처 설계 및 기술 컨설팅 수행
• 고객사 클라우드 마이그레이션 전략 수립 및 기술 지원
• Generative AI(생성형 AI) 솔루션 설계 및 구현 지원(Vertex AI, Gemini 등)
• 제안서 작성, 기술 검증(PoC), 고객 프레젠테이션 수행
• 고객 요구사항 분석 및 최적의 클라우드 솔루션 제안
• GCP 신규 서비스 및 기술 동향 연구/전파

* 경력 및 역량에 따라 업무 범위 상이","• 클라우드 환경에서의 프로젝트 경험 보유 (토이 프로젝트 포함)
• Generative AI(생성형 AI) 서비스와 관련된 기본 지식
• Python 개발 능력 보유
• 원활한 커뮤니케이션 및 문서 작성 능력
• 최신 기술 학습과 실무 적용에 적극적인 분","• Generative AI 프로젝트 경험자
• AI/ML 프로젝트 수행 경험 또는 관련 지식 보유자
• GCP 관련 자격증 보유 (Professiona lCloud Architect, Data Engineer, ML Engineer 등)
• 영어 커뮤니케이션 가능자
• 클라우드 플랫폼 설계/운영 경험 3년 이상자",[],https://www.wanted.co.kr/wd/263995
코덱SW엔지니어 (화질분석/신입),서울 강남구,"[다음 업무를 통해 목표를 달성하고 성장합니다]
• 영상처리, 동영상 압축 알고리즘 및 성능 분석","[이런분과 함께하고 싶어요]
• 전자, 컴퓨터공학 학사 이상
• C, Python 프로그래밍 능력
• 비디오 압축 혹은 영상 처리에 관심이 있으신 분

자격 요건 중에 한 두가지 부족하지만, 노력으로 충분히 캐치업할 수 있는 자신이 있다면 망설이지 말고 지원해주세요!","[이런분이라면 더욱 환영해요]
• 비디오 압축 혹은 영상 처리 관련 연구 수행 및 프로젝트 경험자
• 리눅스 환경에서 개발 가능","['Linux', 'Java', 'Python', 'C', 'C++']",https://www.wanted.co.kr/wd/174091
코덱SW엔지니어 (알고리즘개발/신입),서울 강남구,"[이런분과 함께하고 싶어요]
• 영상처리, 동영상 압축 등 멀티미디어 처리 기술개발","[이런분이라면 더욱 환영해요]
• 전자, 컴퓨터공학 학사 이상
• C/C++ 능숙
• 비디오 압축 혹은 영상 처리에 관심이 있으신 분","[더 몰입하실 수 있도록 도와드려요]
• 비디오 압축 혹은 영상 처리 관련 연구 수행 및 프로젝트 경험자
• 리눅스 환경에서 개발 가능","['Linux', 'Java', 'Python', 'C', 'C++']",https://www.wanted.co.kr/wd/174088
소프트웨어 엔지니어,서울 송파구,"[검색]
• 엘라스틱 검색 시스템 구축 및 기술 지원
• 검색 데이터 파이프라인 개발 및 유지보수
• 검색 쿼리 개발 및 튜닝
• 검색 데이터 분석 및 정제
• RAG 시스템 구축
• 벡터 데이터를 이용한 유사도 높은 의미 검색 결과 도출
• 사용자 교육

[옵저버빌리티]
• 엘라스틱 관측 시스템 구축 및 기술 지원
• 관측 대상 데이터 파이프라인 개발 및 유지보수
• 수집 데이터 분석 및 정제
• 데이터 시각화 대시보드 개발
• 이상 탐지를 위한 Machine Learning Job 개발
• 이상 탐지 Alert 개발 및 시스템 연동
• 사용자 교육","[공통]
• 다양한 데이터 분석 경험
• 협업 및 문제 해결 능력

[검색]
• 검색 시스템 구축 및 운영 경험 (Elastic, 다이퀘스트, 코난, 와이즈넛 등)
• 클라우드 환경(CSP, K8S, OC 등)구축 및 운영 경험

[옵저버빌리티]
• 관제 시스템 구축 및 운영 경험 (Elastic, DataDog, Prometheus 등)
• 다양한 시각화 툴을 통한 대시보드 개발 경험 (Kibana, Tableau, Grafana 등)","[공통]
• Elastic Stack 기술 경험 (Elasticsearch, Kibana, Logstash)
• Kafka, Kubernetes 및 클라우드 구축 경험
• 검색/보안/관제 솔루션 엔지니어링 경력
• 대규모 데이터 파이프라인 구축 및 운영 경험
• 검색 기능 연동을 위한 개발 경험(Java, Python)
• 보안 관련 자격증 소지자
• 머신러닝 기반 보안 분석 및 이벤트 탐지 경험","['Linux', 'ElasticSearch', 'Kubernetes']",https://www.wanted.co.kr/wd/263882
Jr. ML Engineer(일반/전문연구요원),서울 강남구,"• CTR, CVR 예측 머신러닝 모델링 (counterfactual learning, online learning 등 포함)
• Feature 엔지니어링 (LLM 등을 이용한 text feature 가공 포함)
• 모델 경량화 및 서빙 최적화
• ML 데이터 엔지니어링 전반","• 컴퓨터 공학, 수학, 통계학, 산업공학 등 머신러닝 유관 분야 석사 이상의 학위 소지자
• 유관 분야 학사 이상의 학위 소지자이면서, 관련 분야에 논문을 발표한 경험이 있으신 분
• 기초 통계, 전통적인 머신러닝, 딥러닝 이론들에 대해 탄탄한 지식을 보유하신 분
• Python에 능숙하시고, Pytorch 또는 Tensorflow 중 하나 이상에 능숙하신 분

• 현재는 리서치에 강점을 가진 분들을 우선하여 채용하고 있습니다. 지원에 참고해 주시면 감사하겠습니다.","• 머신러닝 유관 분야 박사 학위 소지자
• WSDM, KDD, RecSys, ICDM 등 추천 시스템 분야 Top-tier conference 또는 저널 발표 실적을 보유하신 분
• 실제 환경에서 모델 성능 개선을 통해 경영 지표를 개선해 본 경험이 있으신 분
• AWS, Spark, Ray, FastAPI, Kubernetes 등 엔지니어링 관련 기술 스택을 보유하신 분","['Linux', 'Pytorch', 'Spark', 'Python', 'SQL', 'AWS', 'Kubernetes']",https://www.wanted.co.kr/wd/263752
"딥러닝/머신러닝(AI) 개발자 [신입, 전문연구요원(보충역/전직) 가능",경기 성남시,"• 생체 신호 기반 딥러닝/머신러닝 모델 개발
• 내부 토론식 세미나를 통해 문제점 및 해결방안 도출
• 데이터 전처리, 통계 기반 데이터 분석","* 지원 시 포트폴리오 제출 필수 (연구 자료, 논문 자료 등)
• 딥러닝/머신러닝에 대한 개념적인 이해 및 모델링 경험
• 논문 기반 분석 및 모델링 능력을 보유하신 분
• Python 프로그램 개발 능력
• Tensorflow/PyTorch 등 딥러닝 프레임워크 개발 경험자
• 데이터에 대한 통계학적 이해 및 분석 경험

** 해당 포지션은 전문연구요원 2025년 현역 신규편입은 불가합니다.","• 디지털 신호처리 알고리즘 개발 경험자
• 통계학과, 응용수학과, 산업공학, 전자공학, 컴퓨터공학 등 관련 분야 전공자
• 딥러닝 논문을 코드로 구현하고 실험/분석 역량 보유자
• 의료, 보건 헬스케어 관련 기초 지식 보유 또는 관련 프로젝트 경험자","['Git', 'Android', 'iOS', 'MySQL', 'Pytorch', 'React', 'Tensorflow', 'HTML', 'Java', 'JavaScript', 'Kotlin', 'Python', 'Swift', '딥 러닝', 'AWS', '신호 처리', '인공 지능', 'JPA', 'Spring Boot', 'ML']",https://www.wanted.co.kr/wd/188191
AI Engineer (병특 전문연구요원가능),서울 종로구,"[기술스택]
-Language - Python
-Framework - Pytorch, Tensorflow, Keras, onnx, Langchain, Langgraph
-Infra - AWS, GCP, Kubernetes, Docker, Github

-Diffusion 기반 generative AI model 을 통한 Image, Video 생성 모델 서비스 구축
-공개된 상업용 AI API 활용을 통한 서비스 구현
-새로운 AI trend 에 대한 연구 및 활용","컴퓨터과학/데이터사이언스 전공자 또는 AI/ML 관련 전문 지식 보유자
* 신입/전문연구요원은 석사 이상 필수
-Python, Pytorch, Tensorflow, Keras 등 AI 개발 도구 활용 경험
-아래 조건 중 1개 이상 해당하는 분
* Diffusion 기반 generative AI model 을 사용한 서비스를 구축해 보았거나 하실 수 있는 분
* 그 외에 다양한 AI/ML 분야에 3년이상의 경험이 있으신분","-AI / ML 조직 리딩 경험
-DevOps 엔지니어링 경험
-AI / ML 을 활용한 서비스 구축 및 운영 경험
-AI / ML / 데이터사이언스 분야 석,박사 학위자 또는 그에 준하는 경력자
-비지니스 레벨의 일본어, 영어 구사가 가능한 분","['Github', 'Pytorch', 'Tensorflow', 'Python', 'AWS', 'Docker', 'Kubernetes']",https://www.wanted.co.kr/wd/255120
[이미지/비디오 생성형 AI] Research Engineer (전문연구요원),서울 강남구,"• 비디오 생성 모델 개발 (video generation / frame interpolation)
• 모델 경량화 및 인퍼런스 가속화
• 대규모 데이터셋 수집, 정제, 평가","• 컴퓨터 공학, 전산학 또는 관련 분야 석사 이상 학위 소지자
• AI 및 머신러닝 관련 프로젝트 경험
• 문제 해결 능력 및 창의적인 사고","• 이미지/비디오 처리 관련 연구 경험
• 대규모 데이터셋 처리 및 분석 경험
• 논문 작성 및 발표 경험
• 팀 협업 및 커뮤니케이션 능력",[],https://www.wanted.co.kr/wd/263463
Research Scientist,서울 강남구,"SwiftMR 제품 코드 중 모델 알고리즘 파트 코드 관리
SwiftMR Research팀 최전선에서 실제 고객에게 제품의 형태로 배포될 python 코드 유지 보수 및 업데이트
세계 각지 고객 요청에 대응해 샘플 다이콤 영상 제품 모델 처리 및 결과물 소통","업무 맥락 파악 및 소통 능력 (예외 상황 발생 시 빠른 대처 및 투명한 소통, 담당 업무의 필요성에 대한 깊은 이해)
업무 완성도에 대한 높은 기준 (마감 시간 및 꼼꼼함)
수학적 사고력 (수식으로 된 코드를 읽고 이해할 수 있는 능력)","Python 코드 관리 경험
수학과 친하신 분
의료 AI분야에 관심이 있으신 분",['Python'],https://www.wanted.co.kr/wd/258011
전문연구요원_AI 개발자 (병역 특례),경기 성남시,"• 크라우드 펀딩 플랫폼을 위한 다양한 서비스에 적용되는 AI모델 설계
• 서비스 데이터를 기반으로 자동화 파이프라인 설계 및 개발
• Endpoint API 개발 및 서비스 적용 및 개선","• 공학 석사 이상의 학위를 소지하고 계신 분
• ai 를 활용한 실험 논문을 소지하고 계신 분
• 생성형 AI모델(LLM)을 활용한 응용 프로젝트 수행 경험
• Elasticsearch, LangChain 등 RAG (검색증강생성) 개발, Agent 개발 연구 또는 관련 프로젝트 수행 경험
• 모델 검증을 위한 대규모 데이터셋 처리 및 최적화 경험
• SQL 과 Python 사용이 능숙하신 분","• AWS 의 Serverless (람다) 혹은 k8s 환경에서의 서비스 오픈 경험
• Snowflake 등 빅데이터의 추출과 전처리를 활용하여 데이터 분석과 개선방향에 대한 리포트 경험
• 오픈소스 LLM 모델 개발 경험","['Python', 'SQL']",https://www.wanted.co.kr/wd/263224
Operation / Digital Consultant,서울 강남구,"[Job Description]

• 데이터 분석가와 Business 컨설턴트로 이루어진 팀 단위 프로젝트 수행
• 고객/매출 및 제조/공정 등 고객사 현황 분석을 통한 인사이트 도출 및 문제정의
• Business 및 데이터 분석 인사이트 기반 문제 해결 (프로세스 개선, 경영진/현업 의사결정 지원)
• 분석 결과 활용, 고객 업무 Digital Transformation 위한 Process Re-design
• 고객사 업무 적용 위한 분석 모델 설계 및 개발","• Python 기반 머신러닝 / 딥러닝 모델 개발 가능한 분
• SQL / Phython 기반 데이터 모델링 / 엔지니어링 가능한 분
• Cloud 환경 (AWS, MS AZURE 등) 활용이 원활한 분
• 논리적 사고 및 분석력 보유한 분
• Full-time 근무 가능한 분
• 지방 및 해외 출장 가능한 분","• 제조업 및 SCM 오퍼레이션 관련 경험/ 이해 역량 보유한 분
• 통계, ML/DL 이해 및 모델 설계 경험
• Microsoft office 활용 역량 보유한 분","['MySQL', 'Python', 'SQL', 'AWS']",https://www.wanted.co.kr/wd/178246
"ML engineer/ AI researcher (전문연구요원 - 보충역, 전직자)",서울 강남구,"• AI 팀, 제품 개발팀 및 외부 연구 기관과 협력하여 최신 머신러닝 모델을 개발하고, 모델 학습 및 성능 평가를 담당합니다.
• 반도체 전문가들과 긴밀히 협력하여 혁신적인 단위공정 모델링 도구를 개발하고, 현장의 피드백을 적극 반영합니다.
• 단위공정 모델링은 아직 AI 도입이 활발하지 않은 분야입니다. 모델링 목표 수립부터 설계, 개발까지 전 과정을 주도적으로 이끌면서 새로운 영역을 개척해 나갈 수 있는 좋은 기회입니다","• 컴퓨터 공학 석사 학위, 관련 기술 분야 학위 또는 그에 준하는 실무 경험
• Python을 중심으로 한 탄탄한 프로그래밍 실력
• PyTorch 등 최신 머신러닝 프레임워크 활용 경험
• 머신러닝 연구 및 개발 전반에 대한 경험
• 소프트웨어 설계/아키텍처 역량을 갖춘 엔지니어링 실력
• 머신러닝 이론에 대한 깊은 이해와 이를 활용한 문제 해결 능력
• 뛰어난 구두 및 서면 커뮤니케이션 능력","• 반도체 소자 데이터 관련 업무 경험
• 대규모 머신러닝 모델 개발 경험


[제출서류]
• 필수: 이력서(자유양식)
• 선택: 포트폴리오(자유양식)

[포트폴리오]
• 형식: pdf, github 등 자유형식
• 필수요소: 본인이 참여한 주요 프로젝트들의 목록/기간, 사용 플랫폼과 언어, 핵심 아이디어 요약, 구체적인 역할과 기여 명시","['Github', 'Python', 'AWS']",https://www.wanted.co.kr/wd/262796
ML engineer/ AI researcher (Junior),서울 강남구,"• AI 팀, 제품 개발팀 및 외부 연구 기관과 협력하여 최신 머신러닝 모델을 개발하고, 모델 학습 및 성능 평가를 담당합니다.
• 반도체 전문가들과 긴밀히 협력하여 혁신적인 단위공정 모델링 도구를 개발하고, 현장의 피드백을 적극 반영합니다.
• 단위공정 모델링은 아직 AI 도입이 활발하지 않은 분야입니다. 모델링 목표 수립부터 설계, 개발까지 전 과정을 주도적으로 이끌면서 새로운 영역을 개척해 나갈 수 있는 좋은 기회입니다","• 컴퓨터 공학 석사 학위, 관련 기술 분야 학위 또는 그에 준하는 실무 경험
• Python을 중심으로 한 탄탄한 프로그래밍 실력
• PyTorch 등 최신 머신러닝 프레임워크 활용 경험
• 머신러닝 연구 및 개발 전반에 대한 경험
• 소프트웨어 설계/아키텍처 역량을 갖춘 엔지니어링 실력
• 머신러닝 이론에 대한 깊은 이해와 이를 활용한 문제 해결 능력
• 뛰어난 구두 및 서면 커뮤니케이션 능력","• 반도체 소자 데이터 관련 업무 경험
• 대규모 머신러닝 모델 개발 경험


[제출서류]
• 필수: 이력서(자유양식)
• 선택: 포트폴리오(자유양식)

[포트폴리오]
• 형식: pdf, github 등 자유형식
• 필수요소: 본인이 참여한 주요 프로젝트들의 목록/기간, 사용 플랫폼과 언어, 핵심 아이디어 요약, 구체적인 역할과 기여 명시","['Github', 'Python', 'AWS']",https://www.wanted.co.kr/wd/262798
딥러닝 연구원 / 엔지니어 (전문연구요원 가능),서울 강남구,"1.딥러닝 모델 연구 개발
- 얼굴 및 몸 영상 생성 및 합성 (2D 또는 3D)
- 음성 합성 (TTS) 및 음성 변환 (VST)
- 딥페이크 탐지 (영상 및 음성)
- 자연어 처리 (LLM, G2P 등)
2.영상, 음성, 텍스트 처리 및 분석 기술 개발
3.딥러닝 모델 최적화 및 서버 개발 (MLOps)","관련 분야 전공자 및 경력자
관련 알고리듬 및 라이브러리 전문가
석사 이상 학위 소지자 (전문연구요원)","관련 분야 성과 (논문, 특허, 서비스 출시 등)",[],https://www.wanted.co.kr/wd/251783
[AI연구소] AI연구원 - Computer Vision AI,서울 구로구,"• 컴퓨터 비전 관련 연구 및 모델 개발
• 영상 처리 알고리즘 개발
• 관련 학회 논문 제출 및 특허 작성","• AI 관련 분야 석사 학위 이상
• Pytorch, Tensorflow등 주요 Deep Learning framework 활용 능력
• Linux/Shell, docker/Container 활용 능력
• 형상관리 툴 활용 능력
• 의사 소통 능력","• 대규모 데이터 관리 및 전처리 경험
• VLM(Vision Language Model) 개발 경험
• 국제/국내 인공지능 대회 수상 이력
• 주요 학술대회에 논문 게재 이력","['Linux', 'Pytorch', 'Tensorflow', 'Shell', 'Docker']",https://www.wanted.co.kr/wd/236095
신약개발 특허분석 인공지능 연구원,인천 연수구,"• 특허 문서 수집(Crawling)
• 특허 DB 구축(SQL)
• 특허분석 모델 개발(OCR)
• 특허성 판단 모델 개발
• 특허회피 모델 개발



• 다양한 공개데이터 및 LLM을 활용한 연구지원 모델 개발","• 석사학위 이상 (수학/물리/화학/컴공)
• 대량의 데이터 수집 및 분석 능력
• 인공지능에 대한 높은 이해력
• 자격요건을 미충족할 경우 훌륭한 동기와 실력","• Top Tier 논문
• 추천서
• 신약개발 관련 경력",[],https://www.wanted.co.kr/wd/258119
Computer Vision AI Engineer_Junior,서울 서초구,"• 컴퓨터 비전 기반 무인매장(아마존 ""Grab and Go""와 유사)용, 컴퓨터 비전 딥러닝 모델
(Object Detection, Pose Estimation 등) 개발, 최적화, 상용화
• 사업 도메인에 특화된 문제를 해결하기 위한 특화된 모델 개발
• 딥러닝 모델 설계를 통한 성능/정확도 개선 및 튜닝을 통한 추론 효율성 증대
• 딥러닝 모델 경량화","• 뛰어난 프로그래밍 스킬
• Python, PyTorch/TensorFlow
• 컴퓨터 비전 딥러닝 모델 개발 경험(classification, object detection & segmentation, pose estimation)
• 최신(state-of-the-art) 딥러닝 연구 topics and methods 익숙/관심
• 논리적인 사고","• 관련 경험 2년 이상
• 관련 전공 석사 이상
• 뛰어난 커뮤니케이션",[],https://www.wanted.co.kr/wd/235822
Prompt Engineer,서울 종로구,"• 프롬프트 최적화를 통한 AI 모델 성능 향상
• 다양한 사용 사례에 적합한 프롬프트 설계 및 테스트
• 최신 AI 트렌드 및 기술 연구","• 프롬프트 설계 및 AI 활용 경험
• NLP 및 머신러닝 기본 지식
• 문제 해결 능력 및 창의적 사고","• LLM(대규모 언어 모델, 예: GPT, BERT 등) 관련 프로젝트 경험
• AI 모델 학습 데이터 생성 및 처리 경험
• Python 또는 기타 프로그래밍 언어를 활용한 AI 모델 개발 경험
• AI/ML 워크플로우 도구(Azure ML, TensorFlow, PyTorch 등) 사용 경험
• 데이터 처리 및 분석 도구 활용 능력(Pandas, NumPy 등)
• A/B 테스트 설계 및 결과 분석 경험
• 클라우드 기반 AI 서비스(AWS SageMaker, GCP AI 등) 활용 경험
• 스타트업 또는 AI 관련 프로젝트 참여 경험",[],https://www.wanted.co.kr/wd/261241
인공지능 음성 합성(TTS) 전문가,서울 송파구,"• 다국어/다감정/다화자/소용량 TTS 모델 개발 및 성능개선
• ONNX/TensorRT를 이용한 인퍼런스 고속화 엔진 개발","• 딥러닝 기술에 대한 학습/추론에 대한 깊은 이해
• Python/PyTorch에 대한 높은 숙련도
• 최신 음성 합성 모델에 대한 깊은 이해, 개발 경험, 전문성
• 최신 논문에 대한 Reproduction 능력
• TensorRT를 활용한 모델 고속화 구현 능력
• ONNX를 활용한 C++ 기반 딥러닝 서빙 엔진 개발 경험","• 딥러닝기반 인공지능 관련 분야의 석사 학위 이상
• 딥러닝기반 음성합성 모델 및 엔진의 상용화 경험",[],https://www.wanted.co.kr/wd/261542
"Physical AI Research Scientist (강화학습, 시뮬레이션)",서울 금천구,"[인터엑스가 찾는 인재]

자신의 전문성을 바탕으로 꾸준히 학습하고 활용하면서 그 분야 고수로 인정받는 사람
이러한 능력을 바탕으로 미래의 새로운 가치를 만드는 사람
해당 분야에 최고의 지식과 경험을 가진 동시에 실제 가치를 만드는 사람
이런 능력을 다른 전문가들이 신뢰하는 수준으로 전달할 수 있는 사람
새로운 가치를 만들기 위해 몰입하고 협력하여 끝까지 완수해내는 사람


제출해주신 이력서와 포트폴리오를 기반으로 위의 인재상에 부합하는 부분을 인터뷰 시에 심도 깊게 확인할 예정입니다.

인터뷰 질문 또한 미리 공개드리오니 연구소 채용에 대한 안내 가이드의 많은 관심과 지원 부탁드립니다!

안내 가이드 링크: https://bit.ly/3YBzf9P""





[채용팀 Talk]

인터엑스에서 강화학습 및 시뮬레이션 전문가를 찾습니다!

인터엑스는 AI와 디지털 트랜스포메이션(DX)을 통해 제조 혁신을 선도하는 기업으로,

Digital Twin & Simulation 기술을 활용하여 제조업의 미래를 설계하고 있습니다.

""AI와 Robotics의 새로운 가능성을 열어보고 싶으신가요?""

가상 시뮬레이션 환경에서 최적의 Action Policy를 설계하고,

로봇과 설비가 자율적으로 동작할 수 있는 AI 솔루션 개발을 주도할 수 있는 분을 기다립니다.





[담당업무]

생성형 AI 모델을 사용하여 이미지/영상 합성 데이터 생성 (synthetic data generation)
로봇과 설비의 물리세계를 모사하는 시뮬레이션 모델 설계 (공간관계, 물리적 규칙)
로봇, 설비가 물리 세계를 인지, 이해, 추론하여 자율적으로 행동할 수 있도록 가상 시뮬레이션 환경에서 강화 학습을 이용하여 최적의 action policy 훈련
Digital Twin & Simulation 엔지니어, Robotics 엔지니어와 협업","[필수 경험과 역량]

강화학습 이론에 대한 깊은 이해와 강화학습 Framework 경험이 있으신 분 (예: Stable Baselines3, RLlib, Acme 등)
생성형 AI 모델 (VAE, Diffusion models, NVIDIA Cosmos) 개발 경험이 있으신 분
Computer Vision: CNNs, Vision Transformers(ViTs), image tokenizer 경험이 있으신 분
시뮬레이션 환경(NVIDIA Omniverse, Isaac Sim, Unity) 개발 경험이 있으신 분
Python, PyTorch 경험이 있으신 분","[우대사항]

강화학습/시뮬레이션 전공 박사 학위를 보유하신 분
로봇, 설비 자율운전을 위한 강화학습/시뮬레이션 경험이 있으신 분
AI, Robotics 관련 Top SCI급 저널 기고, 특허 보유하신 분",['Python'],https://www.wanted.co.kr/wd/261251
[인턴] AI Team,서울 강남구,"• AI 모델링 및 개발
• 데이터 수집 및 전처리
• 모델 성능 평가 및 개선
• 관련 기술 조사 및 적용","• AI 관련 학부/대학원 전공하고 계시거나 이수하신 분
• 딥러닝에 대한 기본적인 지식을 갖고 계신 분
• Python, PyTorch 등의 AI 개발 도구 활용 능력이 있는 분
• NLP 모델 학습 경험이 있으신 분","• 딥러닝 모델링 경험이 있는 분
• AI 분야의 다양한 경험 (자연어처리, 이미지, 음성)을 가진 분
• AI 주제의 논문을 작성해보신 분",['ML'],https://www.wanted.co.kr/wd/168348
NPU RTL 설계 엔지니어 (전문연구요원/신입),서울 강남구,"• NPU Architecture 설계
• NPU Core HW RTL Coding, Verification",• Verilog HDL 설계 경험,"• 딥러닝 알고리즘 이해
• CPU Architecture, GPU Architecture 이해",['Verilog'],https://www.wanted.co.kr/wd/259898
